,Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
52,High_Point,BSth,34,29,117.729,108.1213,0.726185,56.412,49.193,15.348,13.0,16.4221,33.669,30.6225,37.256,36.3263,57.314,48.992,36.643,32.9116,39.4168,35.672,66.6226,-1.767
53,Lipscomb,ASun,34,25,110.797,104.0125,0.67191,55.922,48.674,14.419,14.0,15.9265,23.7335,26.638,31.223,22.04,56.523,50.5153,36.449,31.24,47.624,37.0111,66.4238,-4.193
54,Akron,MAC,34,28,113.762,106.8186,0.6712101,55.431,49.5109,16.6137,13.0,17.3161,32.594,29.4154,27.033,33.1183,55.241,51.018,36.449,32.489,45.253,38.0146,71.519,-1.664
55,Troy,SB,33,23,106.7163,100.673,0.6614103,50.1215,47.229,19.933,14.0,19.654,38.17,31.7273,37.058,29.281,53.684,46.523,30.134,32.8113,45.056,38.3157,66.4239,-4.294
56,UNC_Wilmington,CAA,34,27,112.276,106.8184,0.6389109,52.2105,50.9178,16.095,14.0,17.1172,35.136,28.296,37.451,30.411,53.781,50.7167,32.8224,34.0187,36.4246,43.5317,65.7284,-3.281
57,Nebraska_Omaha,Sum,34,22,112.278,108.4221,0.5961126,53.568,53.1283,15.775,15.0,14.8322,29.8188,25.924,36.082,37.2291,52.1135,53.5283,35.673,35.2261,39.1172,45.0337,67.8168,-6.4132
58,Montana,BSky,34,25,112.081,109.0235,0.5785132,56.412,52.2246,16.2108,14.0,15.5288,22.5348,29.0135,35.697,32.0155,56.918,53.7289,36.353,33.616,36.8235,35.154,67.3196,-3.077
59,Wofford,SC,34,19,111.591,109.7248,0.5466145,53.373,51.8232,16.9159,15.0,14.7325,35.525,26.33,30.6252,36.4266,54.26,52.0228,34.812,34.522,47.723,46.0346,64.2335,-9.6193
60,Robert_Morris,Horz,34,26,105.9185,105.0144,0.5237149,51.3142,50.3145,18.5272,15.0,18.784,35.233,28.191,37.646,30.3107,50.7188,50.6159,34.6131,34.0187,36.7239,35.672,68.2137,-4.09
61,Bryant,AE,34,23,105.7191,105.3152,0.5111153,51.0162,47.742,16.5132,15.0,16.4221,33.859,29.5162,29.9274,30.01,51.3161,47.345,33.0213,32.595,34.7285,36.189,72.67,-7.014
62,Norfolk_St_,MEAC,34,24,106.2178,109.0238,0.4252195,52.498,49.7119,18.3254,16.0,18.688,33.18,34.6348,38.438,35.5244,54.555,49.411,30.8326,33.8175,27.636,43.1308,66.5232,-5.3116
63,SIU_Edwardsville,OVC,33,22,101.3265,105.7164,0.3797218,48.927,47.537,17.1174,16.0,17.1172,31.3133,29.7173,33.1171,33.1183,47.9293,46.317,33.1206,33.1125,36.6241,38.7174,66.2253,-7.7153
64,American,Pat,34,22,101.2267,107.4197,0.3359243,51.8119,52.1243,16.8155,16.0,17.7129,23.8334,27.461,29.0296,34.1213,51.4159,53.5283,35.298,33.8175,45.352,35.982,63.8349,-8.2167
65,Mount_St__Mary_s,MAAC,34,22,99.4298,107.5199,0.2903264,51.0162,48.053,21.7358,16.0,15.6281,30.5161,27.975,30.5254,26.129,50.3205,49.411,34.5137,31.863,41.1129,45.234,67.8163,-8.1161
66,Alabama_St_,SWAC,34,19,100.5281,109.6246,0.2704274,47.1325,50.3145,13.24,16.0,18.784,28.0235,30.8232,29.1294,38.9312,45.6338,50.8173,32.6233,33.7169,42.789,40.2232,68.0148,-10.1202
67,Saint_Francis,NEC,33,16,99.9294,112.0289,0.2116301,51.6129,51.3203,19.6321,16.0,16.2241,25.0318,29.9186,24.0357,27.851,52.6113,53.3271,33.8175,32.281,42.0106,43.1308,67.4191,-12.1242
