Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result
2011_VCU,CAA,40,28,112.64,99.91,0.799561,51.172,49.2172,17.126,11.0,4.0
2011_Oakland,Sum,34,24,117.91,105.1224,0.788865,55.84,49.5188,18.681,13.0,
2011_UAB,CUSA,31,22,108.483,96.753,0.787766,50.884,45.932,19.3121,12.0,
2011_Princeton,Ivy,31,24,107.299,98.681,0.723482,52.046,47.176,18.788,13.0,
2011_Wofford,SC,34,21,112.343,103.4179,0.720784,53.025,49.8207,18.054,14.0,
2011_Memphis,CUSA,35,25,104.8134,97.36,0.701289,50.5101,46.867,21.927,12.0,
2011_Indiana_St_,MVC,33,19,103.5165,97.359,0.671596,48.8183,46.345,21.425,14.0,
2011_Bucknell,Pat,34,25,104.3145,98.169,0.66981,50.979,45.423,16.92,14.0,
2011_Morehead_St_,OVC,32,22,105.1121,99.899,0.643111,50.695,49.6195,23.3321,13.0,32.0
2011_Akron,MAC,35,22,102.9177,99.29,0.6049121,49.6141,46.762,17.538,15.0,
2011_LIU,NEC,33,27,107.986,104.32,0.5964124,51.949,48.3126,20.1172,15.0,
2011_Northern_Colorado,BSky,30,19,105.9111,102.7157,0.5891128,49.8129,48.8149,21.626,15.0,
2011_Saint_Peter_s,MAAC,34,20,94.9293,92.214,0.5835131,45.5305,42.41,22.9312,14.0,
2011_UC_Santa_Barbara,BW,30,16,102.7183,100.7121,0.555814,51.659,47.383,21.927,15.0,
2011_UNC_Asheville,BSth,31,17,99.8231,100.111,0.4924169,48.9181,47.9114,21.224,16.0,
2011_Boston_University,AE,35,21,103.1174,104.0191,0.4741178,47.3245,46.035,19.0106,16.0,
2011_UTSA,Slnd,31,17,102.9178,105.7231,0.4235192,49.0175,49.1163,19.7143,16.0,
2011_Little_Rock,SB,34,17,100.9216,105.8233,0.3664223,47.8228,50.4231,18.054,16.0,
2011_Hampton,MEAC,32,23,94.2306,99.392,0.354623,45.9296,43.14,18.054,16.0,
2011_Alabama_St_,SWAC,33,15,92.6318,106.724,0.1645312,44.2324,46.762,23.4323,16.0,
2022_Gonzaga,WCC,32,28,120.34,89.99,0.96621,58.72,43.11,15.735,1.0,16.0
2022_Houston,Amer,38,32,116.51,88.56,0.95952,53.144,43.32,16.97,5.0,8.0
2022_Kansas,B12,40,34,119.85,91.313,0.95803,53.83,45.822,17.3101,1.0,1.0
2022_Texas_Tech,B12,37,27,110.541,85.41,0.95094,52.661,45.822,19.8272,3.0,16.0
2022_Baylor,B12,34,27,117.88,91.314,0.94915,52.855,47.878,17.9132,1.0,32.0
2022_Duke,ACC,39,32,122.71,96.053,0.94406,55.69,47.149,15.018,2.0,4.0
